tipo,quartos,title
,3,"103239 - Apartamento 3 dormitórios, 2 vagas privativas - Venda - casas e apartamentos - Centro, Balneário Camboriú | OLX"
,4,"Permuta-se casa em Blumenau por Casa ou Apto em Itapema - Venda - casas e apartamentos - Ponta Aguda, Blumenau | OLX"
,,"Terreno 1200m² Plano com projeto - divisa Pomerode/Blumenau - Terrenos, sítios e fazendas - Pomerode, Santa Catarina | OLX"
,3,"Excelente Apartamento 3 suítes na Itoupava Norte - Blumenau - Venda - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,3,"Casa - Venda - casas e apartamentos - Indaial, Santa Catarina | OLX"
,3,"Apartamento Blumenau - Venda - casas e apartamentos - Garcia, Blumenau | OLX"
,2,"Apartamento no Bairro Vila Nova - Blumenau - Venda - casas e apartamentos - Vila Nova, Blumenau | OLX"
,2,"Apartamento 2 quartos Costa e Silva - Venda - casas e apartamentos - Costa E Silva, Joinville | OLX"
,4,"Aluguel diaria Oktoberfest 150,00 - Temporada - Salto Norte, Blumenau | OLX"
,,"Amplo Galpão no Centro de Blumenau - Lojas, salas e outros - Victor Konder, Blumenau | OLX"
,,"Sitio, Chácara, terreno, casa, galpão em Pomerode-SC testo central - Terrenos, sítios e fazendas - Pomerode, Santa Catarina | OLX"
,2,"Apartamento em localização cobiçada de Blumenau, próximo á Furb - Venda - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,2,"Casa na Velha/Rua dos Caçadores - Aluguel - casas e apartamentos - Velha, Blumenau | OLX"
,,"Sala Comercial Terrea no Bela Vista em Gaspar - Lojas, salas e outros - Gasparino, Gaspar | OLX"
,,"Excelente Sala comercial no bela vista Blumenau - Lojas, salas e outros - Gasparino, Gaspar | OLX"
,3,"Cobertura com linda vista para o mar em Campinas, São José - Venda - casas e apartamentos - Campinas, São José | OLX"
,3,"Casa em Blumenau Bairro Salto do Norte - Venda - casas e apartamentos - Salto Norte, Blumenau | OLX"
,,"Apartamento, Salto Norte, Blumenau-SC - Venda - casas e apartamentos - Fortaleza Alta, Blumenau | OLX"
,3,"Casa de alvenaria em Blumenau - Venda - casas e apartamentos - Velha Central, Blumenau | OLX"
,2,"Alugo Casa Diária( Praia de São Miguel -Penha ) - Temporada - Penha, Santa Catarina | OLX"
,3,"Apartamento semi mobiliado em Blumenau, bairro Escola Agrícola - Aluguel - casas e apartamentos - Escola Agrícola, Blumenau | OLX"
,3,"Casa em condomínio fechado Residencial Del Monte - Rio do Sul - Venda - casas e apartamentos - Centro, Rio do Sul | OLX"
,4,"Venda de apartamentp - Venda - casas e apartamentos - Balneário Camboriú, Santa Catarina | OLX"
,,"Exelente Terreno em Blumenau para Negócio - Terrenos, sítios e fazendas - Progresso, Blumenau | OLX"
,2,"Casa em Blumenau bairro Itoupavazinha - Aluguel - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
,,"Terreno em Blumenau - Ideal para Transportadoras - Terrenos, sítios e fazendas - Itoupava Central, Blumenau | OLX"
,3,"Apartamento de 3/4 em condomínio fechado - Venda - casas e apartamentos - Gasparino, Gaspar | OLX"
,,"Terreno, Velha, Blumenau-SC - Terrenos, sítios e fazendas - Velha, Blumenau | OLX"
,,"Alugo Quartos Oktoberfest 2017 Blumenau SC - Aluguel - casas e apartamentos - Boa Vista, Blumenau | OLX"
,,"Terreno 19 alqueires 250.000 - Terrenos, sítios e fazendas - Itaiópolis, Santa Catarina | OLX"
,,"Repassando ponto comercial - Lojas, salas e outros - Salto Norte, Blumenau | OLX"
,,"Amplo terreno em Blumenau/SC - Terrenos, sítios e fazendas - Centro, Blumenau | OLX"
,,"Loja - Lojas, salas e outros - Garcia, Blumenau | OLX"
,,"Linda Chácara/Casa c/ piscina; 2 Lagoas e 5 mil metros de terra - Terrenos, sítios e fazendas - Salto Norte, Blumenau | OLX"
,,"Vendo lindo sitio em taio 41 hectares - Terrenos, sítios e fazendas - Itoupavazinha, Blumenau | OLX"
,3,"Casa na geral do progresso - Aluguel - casas e apartamentos - Glória, Blumenau | OLX"
,,"Terreno, Progresso, Blumenau-SC - Terrenos, sítios e fazendas - Progresso, Blumenau | OLX"
,2,"Casa em blumenau pego carro no negocio - Venda - casas e apartamentos - Badenfurt, Blumenau | OLX"
,2,"Casa bairro Fortaleza, 2 quartos - Venda - casas e apartamentos - Fortaleza, Blumenau | OLX"
,2,"Casa mista, Blumenau, 2 quartos - Venda - casas e apartamentos - Glória, Blumenau | OLX"
,,"Excelente ponto comercial em Blumenau - Lojas, salas e outros - Vorstadt, Blumenau | OLX"
,3,"Apartamento semi-mobiliado escriturado e quitado no bairro da Velha - Venda - casas e apartamentos - Velha, Blumenau | OLX"
,5 ou mais,"Casa C Piscina, Vila Germanica, Oktoberfest Blumenau 5 suítes - Temporada - Velha, Blumenau | OLX"
,2,"Apto com móveis Planejados (negociável apto de maior valor em Blumenau) - Venda - casas e apartamentos - Três Rios do Sul, Jaraguá do Sul | OLX"
,2,"Apartamento Itoupava Central Blumenau 2 quartos sacada com churrasqueira - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,,"Excelente fazenda de Pecuária em Santa Catarina - Terrenos, sítios e fazendas - Rio Dos Cedros, Santa Catarina | OLX"
,2,"Casa de alvenaria em Blumenau-sc - Venda - casas e apartamentos - Ponta Aguda, Blumenau | OLX"
,1,"Preciso - Aluguel - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
